episode,reward
0,12.499999999999972
1,11.599999999999971
2,9.399999999999979
3,9.399999999999979
4,9.499999999999979
5,9.499999999999979
6,9.599999999999978
7,10.599999999999978
8,9.599999999999978
9,9.499999999999979
10,9.599999999999978
11,9.499999999999979
12,9.499999999999979
13,9.599999999999978
14,9.599999999999978
15,9.399999999999979
16,9.499999999999979
17,9.399999999999979
18,9.399999999999979
19,9.499999999999979
20,9.399999999999979
21,9.499999999999979
22,9.599999999999978
23,9.499999999999979
24,9.499999999999979
25,9.599999999999978
26,9.399999999999979
27,9.399999999999979
28,9.499999999999979
29,9.499999999999979
30,9.499999999999979
31,12.499999999999968
32,9.499999999999979
33,9.29999999999998
34,9.499999999999979
35,9.599999999999978
36,9.499999999999979
37,9.399999999999979
38,11.599999999999971
39,9.599999999999978
40,10.399999999999979
41,9.499999999999979
42,9.599999999999978
43,9.499999999999979
44,9.29999999999998
45,9.399999999999979
46,9.29999999999998
47,9.399999999999979
48,9.499999999999979
49,9.399999999999979
50,9.399999999999979
51,9.29999999999998
52,9.499999999999979
53,9.499999999999979
54,9.499999999999979
55,9.499999999999979
56,9.499999999999979
57,9.399999999999979
58,9.399999999999979
59,9.399999999999979
60,9.499999999999979
61,9.599999999999978
62,9.499999999999979
63,9.499999999999979
64,9.499999999999979
65,9.399999999999979
66,9.399999999999979
67,9.399999999999979
68,9.399999999999979
69,9.29999999999998
70,9.499999999999979
71,9.399999999999979
72,13.099999999999966
73,9.599999999999978
74,9.399999999999979
75,9.399999999999979
76,9.399999999999979
77,9.499999999999979
78,9.29999999999998
79,9.499999999999979
80,9.399999999999979
81,9.399999999999979
82,9.499999999999979
83,9.599999999999978
84,9.499999999999979
85,9.399999999999979
86,9.499999999999979
87,9.399999999999979
88,9.499999999999979
89,9.499999999999979
90,9.499999999999979
91,9.499999999999979
92,9.29999999999998
93,9.599999999999978
94,9.499999999999979
95,9.399999999999979
96,9.399999999999979
97,9.499999999999979
98,9.599999999999978
99,9.599999999999978
